Date,Open,High,Low,Close,Adj Close,Volume
1963-10-09,71.980003,72.790001,71.599998,72.400002,72.400002,23550000
1963-10-16,72.400002,73.870003,72.080002,72.959999,72.959999,30060000
1963-10-23,72.959999,75.180000,72.589996,74.459999,74.459999,31750000
1963-10-30,74.459999,74.589996,73.089996,73.449997,73.449997,20880000
1963-11-06,73.449997,73.660004,72.330002,73.230003,73.230003,23070000
1963-11-13,73.230003,73.669998,71.419998,71.900002,71.900002,23270000
1963-11-20,71.900002,73.139999,69.480003,72.379997,72.379997,26950000
1963-11-27,72.379997,74.080002,71.760002,73.620003,73.620003,19310000
1963-12-04,73.620003,74.629997,73.209999,73.989998,73.989998,23800000
1963-12-11,73.989998,75.080002,73.580002,74.739998,74.739998,22330000
1963-12-18,74.739998,75.209999,73.440002,73.970001,73.970001,23520000
1963-12-25,73.970001,75.360001,73.739998,75.019997,75.019997,19720000
1964-01-01,75.019997,76.239998,74.820000,75.690002,75.690002,21410000
1964-01-08,75.690002,76.849998,75.389999,76.360001,76.360001,27760000
1964-01-15,76.360001,77.209999,75.870003,76.620003,76.620003,28920000
1964-01-22,76.620003,77.779999,76.449997,77.099998,77.099998,25850000
1964-01-29,77.099998,77.550003,76.260002,76.879997,76.879997,21140000
1964-02-05,76.879997,77.769997,76.360001,77.330002,77.330002,21020000
1964-02-12,77.330002,77.930000,77.000000,77.470001,77.470001,23270000
1964-02-19,77.470001,78.309998,77.129997,77.680000,77.680000,19610000
1964-02-26,77.680000,78.660004,77.199997,78.220001,78.220001,26790000
1964-03-04,78.220001,78.900002,77.580002,78.589996,78.589996,25730000
1964-03-11,78.589996,79.650002,78.449997,79.320000,79.320000,27750000
1964-03-18,79.320000,79.889999,78.449997,78.790001,78.790001,26730000
1964-03-25,78.790001,79.669998,78.169998,78.980003,78.980003,22510000
1964-04-01,78.980003,80.449997,78.669998,79.739998,79.739998,30080000
1964-04-08,79.739998,80.370003,79.260002,79.989998,79.989998,26120000
1964-04-15,79.989998,81.040001,79.629997,80.540001,80.540001,27850000
1964-04-22,80.540001,81.199997,78.900002,79.900002,79.900002,27550000
1964-04-29,79.900002,81.199997,79.080002,80.879997,80.879997,28580000
1964-05-06,80.879997,81.809998,80.529999,81.160004,81.160004,25760000
1964-05-13,81.160004,81.650002,79.959999,80.300003,80.300003,24630000
1964-05-20,80.300003,81.489998,80.089996,80.389999,80.389999,23060000
1964-05-27,80.389999,80.830002,79.500000,79.699997,79.699997,17490000
1964-06-03,79.699997,80.120003,78.150002,79.139999,79.139999,21590000
1964-06-10,79.139999,80.720001,79.019997,80.400002,80.400002,20330000
1964-06-17,80.400002,81.540001,80.220001,80.769997,80.769997,22720000
1964-06-24,80.769997,82.099998,80.410004,81.690002,81.690002,23030000
1964-07-01,81.690002,83.529999,81.459999,83.120003,83.120003,20870000
1964-07-08,83.120003,83.989998,82.580002,83.059998,83.059998,24780000
1964-07-15,83.059998,84.330002,82.720001,83.540001,83.540001,22850000
1964-07-22,83.540001,83.949997,82.400002,82.849998,82.849998,21290000
1964-07-29,82.849998,83.570000,81.680000,81.959999,81.959999,21360000
1964-08-05,81.959999,82.449997,80.800003,81.760002,81.760002,19790000
1964-08-12,81.760002,82.870003,81.599998,82.400002,82.400002,20780000
1964-08-19,82.400002,82.800003,81.199997,81.440002,81.440002,19190000
1964-08-26,81.440002,82.500000,80.989998,82.180000,82.180000,18610000
1964-09-02,82.180000,83.239998,81.949997,82.870003,82.870003,17410000
1964-09-09,82.870003,83.889999,82.540001,83.000000,83.000000,27850000
1964-09-16,83.000000,84.440002,82.570000,83.889999,83.889999,27330000
1964-09-23,83.889999,84.800003,83.449997,84.239998,84.239998,27810000
1964-09-30,84.239998,85.250000,83.709999,84.790001,84.790001,23230000
1964-10-07,84.790001,85.599998,84.419998,84.959999,84.959999,24950000
1964-10-14,84.959999,85.570000,83.650002,85.180000,85.180000,26320000
1964-10-21,85.180000,85.699997,84.510002,85.000000,85.000000,23370000
1964-10-28,85.000000,85.540001,84.360001,85.180000,85.180000,17830000
1964-11-04,85.180000,85.900002,84.489998,84.839996,84.839996,23490000
1964-11-11,84.839996,86.550003,84.489998,86.029999,86.029999,24690000
1964-11-18,86.029999,86.800003,85.150002,85.730003,85.730003,27270000
1964-11-25,85.730003,86.180000,83.360001,83.550003,83.550003,18700000
1964-12-02,83.550003,85.029999,83.120003,84.000000,84.000000,23280000
1964-12-09,84.000000,84.239998,82.650002,83.220001,83.220001,24120000
1964-12-16,83.220001,84.910004,83.000000,84.330002,84.330002,23080000
1964-12-23,84.330002,84.760002,83.379997,83.809998,83.809998,16510000
1964-12-30,83.809998,85.180000,83.629997,84.629997,84.629997,20120000
1965-01-06,84.629997,85.980003,84.449997,85.610001,85.610001,26110000
1965-01-13,85.610001,87.150002,85.349998,86.629997,86.629997,28410000
1965-01-20,86.629997,87.449997,86.019997,86.940002,86.940002,26890000
1965-01-27,86.940002,88.190002,86.699997,87.550003,87.550003,30830000
1965-02-03,87.550003,88.059998,85.949997,87.239998,87.239998,29750000
1965-02-10,87.239998,87.699997,85.330002,85.669998,85.669998,28730000
1965-02-17,85.669998,87.010002,85.250000,86.639999,86.639999,23010000
1965-02-24,86.639999,87.930000,86.430000,87.400002,87.400002,31150000
1965-03-03,87.400002,87.830002,86.000000,86.690002,86.690002,30480000
1965-03-10,86.690002,87.919998,86.169998,87.129997,87.129997,28720000
1965-03-17,87.129997,87.510002,86.410004,86.930000,86.930000,24890000
1965-03-24,86.930000,87.550003,85.650002,86.199997,86.199997,24760000
1965-03-31,86.199997,87.080002,85.830002,86.500000,86.500000,23950000
1965-04-07,86.500000,88.480003,86.139999,88.040001,88.040001,29510000
1965-04-14,88.040001,89.070000,87.550003,88.459999,88.459999,24590000
1965-04-21,88.459999,89.639999,87.699997,89.040001,89.040001,29160000
1965-04-28,89.040001,89.889999,88.470001,89.510002,89.510002,27440000
